Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
does your girlfriend ever make you angry,sometimes,"['doe', 'your', 'girlfriend', 'ever', 'make', 'you', 'angry']",['sometimes'],"[112, 247, 602, 398, 168, 4, 823]",[107],"[112, 247, 602, 398, 168, 4, 823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sometimes,what does she do,['sometimes'],"['what', 'doe', 'she', 'do']",[107],"[22, 112, 221, 27]","[107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 112, 221, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what does she do,just yesterday i told her i would not trade her for all the money in the world,"['what', 'doe', 'she', 'do']","['just', 'yesterday', 'i', 'told', 'her', 'i', 'would', 'not', 'trade', 'her', 'for', 'all', 'the', 'money', 'in', 'the', 'world']","[22, 112, 221, 27]","[188, 297, 6, 331, 253, 6, 82, 53, 1494, 253, 14, 224, 78, 606, 23, 78, 785]","[22, 112, 221, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[188, 297, 6, 331, 253, 6, 82, 53, 1494, 253, 14, 224, 78, 606, 23, 78, 785, 0, 0, 0]"
just yesterday i told her i would not trade her for all the money in the world,that was a nice thing to say,"['just', 'yesterday', 'i', 'told', 'her', 'i', 'would', 'not', 'trade', 'her', 'for', 'all', 'the', 'money', 'in', 'the', 'world']","['that', 'wa', 'a', 'nice', 'thing', 'to', 'say']","[188, 297, 6, 331, 253, 6, 82, 53, 1494, 253, 14, 224, 78, 606, 23, 78, 785]","[58, 95, 37, 115, 202, 29, 199]","[188, 297, 6, 331, 253, 6, 82, 53, 1494, 253, 14, 224, 78, 606, 23, 78, 785, 0, 0, 0]","[58, 95, 37, 115, 202, 29, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that was a nice thing to say,that is what i thought,"['that', 'wa', 'a', 'nice', 'thing', 'to', 'say']","['that', 'is', 'what', 'i', 'thought']","[58, 95, 37, 115, 202, 29, 199]","[58, 35, 22, 6, 504]","[58, 95, 37, 115, 202, 29, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 22, 6, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is what i thought,what did she say,"['that', 'is', 'what', 'i', 'thought']","['what', 'did', 'she', 'say']","[58, 35, 22, 6, 504]","[22, 139, 221, 199]","[58, 35, 22, 6, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 139, 221, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what did she say,she laughed she did not believe me,"['what', 'did', 'she', 'say']","['she', 'laughed', 'she', 'did', 'not', 'believe', 'me']","[22, 139, 221, 199]","[221, 1495, 221, 139, 53, 182, 100]","[22, 139, 221, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[221, 1495, 221, 139, 53, 182, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
she laughed she did not believe me,that was not very nice of her,"['she', 'laughed', 'she', 'did', 'not', 'believe', 'me']","['that', 'wa', 'not', 'very', 'nice', 'of', 'her']","[221, 1495, 221, 139, 53, 182, 100]","[58, 95, 53, 114, 115, 56, 253]","[221, 1495, 221, 139, 53, 182, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 95, 53, 114, 115, 56, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that was not very nice of her,she said that nothing is more important to me than money,"['that', 'wa', 'not', 'very', 'nice', 'of', 'her']","['she', 'said', 'that', 'nothing', 'is', 'more', 'important', 'to', 'me', 'than', 'money']","[58, 95, 53, 114, 115, 56, 253]","[221, 637, 58, 475, 35, 172, 1168, 29, 100, 111, 606]","[58, 95, 53, 114, 115, 56, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[221, 637, 58, 475, 35, 172, 1168, 29, 100, 111, 606, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
she said that nothing is more important to me than money,what did you say,"['she', 'said', 'that', 'nothing', 'is', 'more', 'important', 'to', 'me', 'than', 'money']","['what', 'did', 'you', 'say']","[221, 637, 58, 475, 35, 172, 1168, 29, 100, 111, 606]","[22, 139, 4, 199]","[221, 637, 58, 475, 35, 172, 1168, 29, 100, 111, 606, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 139, 4, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what did you say,i told her i would not trade her for any other woman in the world,"['what', 'did', 'you', 'say']","['i', 'told', 'her', 'i', 'would', 'not', 'trade', 'her', 'for', 'any', 'other', 'woman', 'in', 'the', 'world']","[22, 139, 4, 199]","[6, 331, 253, 6, 82, 53, 1494, 253, 14, 135, 342, 937, 23, 78, 785]","[22, 139, 4, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 331, 253, 6, 82, 53, 1494, 253, 14, 135, 342, 937, 23, 78, 785, 0, 0, 0, 0, 0]"
some people have good noses,i wish i had a good nose mine is way too big,"['some', 'people', 'have', 'good', 'nose']","['i', 'wish', 'i', 'had', 'a', 'good', 'nose', 'mine', 'is', 'way', 'too', 'big']","[138, 57, 19, 12, 571]","[6, 98, 6, 244, 37, 12, 571, 408, 35, 161, 101, 39]","[138, 57, 19, 12, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 98, 6, 244, 37, 12, 571, 408, 35, 161, 101, 39, 0, 0, 0, 0, 0, 0, 0, 0]"
i wish i had a good nose mine is way too big,i do not mean goodlooking i mean goodsmelling,"['i', 'wish', 'i', 'had', 'a', 'good', 'nose', 'mine', 'is', 'way', 'too', 'big']","['i', 'do', 'not', 'mean', 'good', '##lo', '##oki', '##ng', 'i', 'mean', 'good', '##mel', '##ling']","[6, 98, 6, 244, 37, 12, 571, 408, 35, 161, 101, 39]","[6, 27, 53, 130, 12, 713, 714, 715, 6, 130, 12, 1496, 1497]","[6, 98, 6, 244, 37, 12, 571, 408, 35, 161, 101, 39, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 27, 53, 130, 12, 713, 714, 715, 6, 130, 12, 1496, 1497, 0, 0, 0, 0, 0, 0, 0]"
i do not mean goodlooking i mean goodsmelling,oh but that can be a curse,"['i', 'do', 'not', 'mean', 'good', '##lo', '##oki', '##ng', 'i', 'mean', 'good', '##mel', '##ling']","['oh', 'but', 'that', 'can', 'be', 'a', 'curse']","[6, 27, 53, 130, 12, 713, 714, 715, 6, 130, 12, 1496, 1497]","[230, 106, 58, 152, 83, 37, 1427]","[6, 27, 53, 130, 12, 713, 714, 715, 6, 130, 12, 1496, 1497, 0, 0, 0, 0, 0, 0, 0]","[230, 106, 58, 152, 83, 37, 1427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oh but that can be a curse,yes because you can be too sensitive to odors,"['oh', 'but', 'that', 'can', 'be', 'a', 'curse']","['yes', 'because', 'you', 'can', 'be', 'too', 'sensitive', 'to', 'odor', '##s']","[230, 106, 58, 152, 83, 37, 1427]","[97, 151, 4, 152, 83, 101, 1498, 29, 1499, 64]","[230, 106, 58, 152, 83, 37, 1427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 151, 4, 152, 83, 101, 1498, 29, 1499, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes because you can be too sensitive to odors,i will say my girlfriend has a nose like a drug dog,"['yes', 'because', 'you', 'can', 'be', 'too', 'sensitive', 'to', 'odor', '##s']","['i', 'will', 'say', 'my', 'girlfriend', 'ha', 'a', 'nose', 'like', 'a', 'drug', 'dog']","[97, 151, 4, 152, 83, 101, 1498, 29, 1499, 64]","[6, 158, 199, 69, 602, 269, 37, 571, 32, 37, 1052, 609]","[97, 151, 4, 152, 83, 101, 1498, 29, 1499, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 158, 199, 69, 602, 269, 37, 571, 32, 37, 1052, 609, 0, 0, 0, 0, 0, 0, 0, 0]"
i will say my girlfriend has a nose like a drug dog,did she catch you using drugs,"['i', 'will', 'say', 'my', 'girlfriend', 'ha', 'a', 'nose', 'like', 'a', 'drug', 'dog']","['did', 'she', 'catch', 'you', 'using', 'drug']","[6, 158, 199, 69, 602, 269, 37, 571, 32, 37, 1052, 609]","[139, 221, 483, 4, 1095, 1052]","[6, 158, 199, 69, 602, 269, 37, 571, 32, 37, 1052, 609, 0, 0, 0, 0, 0, 0, 0, 0]","[139, 221, 483, 4, 1095, 1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
did she catch you using drugs,sort of she knows whenever i sneak a cigarette,"['did', 'she', 'catch', 'you', 'using', 'drug']","['sort', 'of', 'she', 'know', 'whenever', 'i', 'sneak', 'a', 'cigarette']","[139, 221, 483, 4, 1095, 1052]","[388, 56, 221, 74, 1116, 6, 1500, 37, 1053]","[139, 221, 483, 4, 1095, 1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[388, 56, 221, 74, 1116, 6, 1500, 37, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sort of she knows whenever i sneak a cigarette,you do not need a good nose for thatâ—cigarettes stink,"['sort', 'of', 'she', 'know', 'whenever', 'i', 'sneak', 'a', 'cigarette']","['you', 'do', 'not', 'need', 'a', 'good', 'nose', 'for', 'that', '##a', '—', 'cigarette', 'stink']","[388, 56, 221, 74, 1116, 6, 1500, 37, 1053]","[4, 27, 53, 258, 37, 12, 571, 14, 58, 681, 682, 1053, 1501]","[388, 56, 221, 74, 1116, 6, 1500, 37, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 27, 53, 258, 37, 12, 571, 14, 58, 681, 682, 1053, 1501, 0, 0, 0, 0, 0, 0, 0]"
you do not need a good nose for thatâ—cigarettes stink,but when i sneak just one cigarette in the morning she can smell it that evening,"['you', 'do', 'not', 'need', 'a', 'good', 'nose', 'for', 'that', '##a', '—', 'cigarette', 'stink']","['but', 'when', 'i', 'sneak', 'just', 'one', 'cigarette', 'in', 'the', 'morning', 'she', 'can', 'smell', 'it', 'that', 'evening']","[4, 27, 53, 258, 37, 12, 571, 14, 58, 681, 682, 1053, 1501]","[106, 162, 6, 1500, 188, 124, 1053, 23, 78, 548, 221, 152, 147, 33, 58, 1502]","[4, 27, 53, 258, 37, 12, 571, 14, 58, 681, 682, 1053, 1501, 0, 0, 0, 0, 0, 0, 0]","[106, 162, 6, 1500, 188, 124, 1053, 23, 78, 548, 221, 152, 147, 33, 58, 1502, 0, 0, 0, 0]"
but when i sneak just one cigarette in the morning she can smell it that evening,boy that is a good nose,"['but', 'when', 'i', 'sneak', 'just', 'one', 'cigarette', 'in', 'the', 'morning', 'she', 'can', 'smell', 'it', 'that', 'evening']","['boy', 'that', 'is', 'a', 'good', 'nose']","[106, 162, 6, 1500, 188, 124, 1053, 23, 78, 548, 221, 152, 147, 33, 58, 1502]","[1032, 58, 35, 37, 12, 571]","[106, 162, 6, 1500, 188, 124, 1053, 23, 78, 548, 221, 152, 147, 33, 58, 1502, 0, 0, 0, 0]","[1032, 58, 35, 37, 12, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
boy that is a good nose,i told her she should apply for a job at customs,"['boy', 'that', 'is', 'a', 'good', 'nose']","['i', 'told', 'her', 'she', 'should', 'apply', 'for', 'a', 'job', 'at', 'custom']","[1032, 58, 35, 37, 12, 571]","[6, 331, 253, 221, 81, 2176, 14, 37, 325, 171, 2177]","[1032, 58, 35, 37, 12, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 331, 253, 221, 81, 2176, 14, 37, 325, 171, 2177, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
let us go out to eat,that sounds like fun,"['let', 'u', 'go', 'out', 'to', 'eat']","['that', 'sound', 'like', 'fun']","[239, 240, 28, 165, 29, 588]","[58, 177, 32, 178]","[239, 240, 28, 165, 29, 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 177, 32, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that sounds like fun,where do you want to go,"['that', 'sound', 'like', 'fun']","['where', 'do', 'you', 'want', 'to', 'go']","[58, 177, 32, 178]","[67, 27, 4, 126, 29, 28]","[58, 177, 32, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67, 27, 4, 126, 29, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
where do you want to go,let me think a minute,"['where', 'do', 'you', 'want', 'to', 'go']","['let', 'me', 'think', 'a', 'minute']","[67, 27, 4, 126, 29, 28]","[239, 100, 75, 37, 185]","[67, 27, 4, 126, 29, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[239, 100, 75, 37, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
let me think a minute,i feel like chinese,"['let', 'me', 'think', 'a', 'minute']","['i', 'feel', 'like', 'chinese']","[239, 100, 75, 37, 185]","[6, 125, 32, 1503]","[239, 100, 75, 37, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 125, 32, 1503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i feel like chinese,that sounds delicious,"['i', 'feel', 'like', 'chinese']","['that', 'sound', 'delicious']","[6, 125, 32, 1503]","[58, 177, 1504]","[6, 125, 32, 1503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 177, 1504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that sounds delicious,i know a good chinese restaurant,"['that', 'sound', 'delicious']","['i', 'know', 'a', 'good', 'chinese', 'restaurant']","[58, 177, 1504]","[6, 74, 37, 12, 1503, 653]","[58, 177, 1504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 37, 12, 1503, 653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i know a good chinese restaurant,how far away is it,"['i', 'know', 'a', 'good', 'chinese', 'restaurant']","['how', 'far', 'away', 'is', 'it']","[6, 74, 37, 12, 1503, 653]","[2, 68, 793, 35, 33]","[6, 74, 37, 12, 1503, 653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 68, 793, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how far away is it,it is only minutes from here,"['how', 'far', 'away', 'is', 'it']","['it', 'is', 'only', 'minute', 'from', 'here']","[2, 68, 793, 35, 33]","[33, 35, 293, 185, 343, 417]","[2, 68, 793, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 35, 293, 185, 343, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is only minutes from here,do we need reservations,"['it', 'is', 'only', 'minute', 'from', 'here']","['do', 'we', 'need', 'reservation']","[33, 35, 293, 185, 343, 417]","[27, 190, 258, 819]","[33, 35, 293, 185, 343, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 190, 258, 819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do we need reservations,oh no we can walk right in,"['do', 'we', 'need', 'reservation']","['oh', 'no', 'we', 'can', 'walk', 'right', 'in']","[27, 190, 258, 819]","[230, 16, 190, 152, 608, 25, 23]","[27, 190, 258, 819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[230, 16, 190, 152, 608, 25, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oh no we can walk right in,let us go now i am hungry,"['oh', 'no', 'we', 'can', 'walk', 'right', 'in']","['let', 'u', 'go', 'now', 'i', 'am', 'hungry']","[230, 16, 190, 152, 608, 25, 23]","[239, 240, 28, 26, 6, 7, 763]","[230, 16, 190, 152, 608, 25, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[239, 240, 28, 26, 6, 7, 763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i cannot believe how long this line is,this is a popular restaurant is not it,"['i', 'cannot', 'believe', 'how', 'long', 'this', 'line', 'is']","['this', 'is', 'a', 'popular', 'restaurant', 'is', 'not', 'it']","[6, 102, 182, 2, 386, 175, 422, 35]","[175, 35, 37, 1505, 653, 35, 53, 33]","[6, 102, 182, 2, 386, 175, 422, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[175, 35, 37, 1505, 653, 35, 53, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
this is a popular restaurant is not it,yes but it is not a fastfood restaurant is it,"['this', 'is', 'a', 'popular', 'restaurant', 'is', 'not', 'it']","['yes', 'but', 'it', 'is', 'not', 'a', 'fast', '##fo', '##od', 'restaurant', 'is', 'it']","[175, 35, 37, 1505, 653, 35, 53, 33]","[97, 106, 33, 35, 53, 37, 579, 1506, 1507, 653, 35, 33]","[175, 35, 37, 1505, 653, 35, 53, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 106, 33, 35, 53, 37, 579, 1506, 1507, 653, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0]"
yes but it is not a fastfood restaurant is it,it is the slowest hamburger in town,"['yes', 'but', 'it', 'is', 'not', 'a', 'fast', '##fo', '##od', 'restaurant', 'is', 'it']","['it', 'is', 'the', 'slow', '##est', 'hamburger', 'in', 'town']","[97, 106, 33, 35, 53, 37, 579, 1506, 1507, 653, 35, 33]","[33, 35, 78, 673, 291, 1289, 23, 1395]","[97, 106, 33, 35, 53, 37, 579, 1506, 1507, 653, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 35, 78, 673, 291, 1289, 23, 1395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is the slowest hamburger in town,that is because they cook it while you wait,"['it', 'is', 'the', 'slow', '##est', 'hamburger', 'in', 'town']","['that', 'is', 'because', 'they', 'cook', 'it', 'while', 'you', 'wait']","[33, 35, 78, 673, 291, 1289, 23, 1395]","[58, 35, 151, 348, 1508, 33, 385, 4, 103]","[33, 35, 78, 673, 291, 1289, 23, 1395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 151, 348, 1508, 33, 385, 4, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is because they cook it while you wait,yes that is why it is also the best hamburger in town,"['that', 'is', 'because', 'they', 'cook', 'it', 'while', 'you', 'wait']","['yes', 'that', 'is', 'why', 'it', 'is', 'also', 'the', 'best', 'hamburger', 'in', 'town']","[58, 35, 151, 348, 1508, 33, 385, 4, 103]","[97, 58, 35, 142, 33, 35, 532, 78, 418, 1289, 23, 1395]","[58, 35, 151, 348, 1508, 33, 385, 4, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 58, 35, 142, 33, 35, 532, 78, 418, 1289, 23, 1395, 0, 0, 0, 0, 0, 0, 0, 0]"
yes that is why it is also the best hamburger in town,a great burger and great service,"['yes', 'that', 'is', 'why', 'it', 'is', 'also', 'the', 'best', 'hamburger', 'in', 'town']","['a', 'great', 'burger', 'and', 'great', 'service']","[97, 58, 35, 142, 33, 35, 532, 78, 418, 1289, 23, 1395]","[37, 21, 1509, 94, 21, 1158]","[97, 58, 35, 142, 33, 35, 532, 78, 418, 1289, 23, 1395, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 21, 1509, 94, 21, 1158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a great burger and great service,yes the workers are very polite,"['a', 'great', 'burger', 'and', 'great', 'service']","['yes', 'the', 'worker', 'are', 'very', 'polite']","[37, 21, 1509, 94, 21, 1158]","[97, 78, 1510, 3, 114, 582]","[37, 21, 1509, 94, 21, 1158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 78, 1510, 3, 114, 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes the workers are very polite,and they are clean,"['yes', 'the', 'worker', 'are', 'very', 'polite']","['and', 'they', 'are', 'clean']","[97, 78, 1510, 3, 114, 582]","[94, 348, 3, 166]","[97, 78, 1510, 3, 114, 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[94, 348, 3, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
and they are clean,i have been coming here for years,"['and', 'they', 'are', 'clean']","['i', 'have', 'been', 'coming', 'here', 'for', 'year']","[94, 348, 3, 166]","[6, 19, 20, 527, 417, 14, 553]","[94, 348, 3, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 20, 527, 417, 14, 553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have been coming here for years,me too,"['i', 'have', 'been', 'coming', 'here', 'for', 'year']","['me', 'too']","[6, 19, 20, 527, 417, 14, 553]","[100, 101]","[6, 19, 20, 527, 417, 14, 553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
me too,excuse me they just called my number,"['me', 'too']","['excuse', 'me', 'they', 'just', 'called', 'my', 'number']","[100, 101]","[779, 100, 348, 188, 254, 69, 953]","[100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[779, 100, 348, 188, 254, 69, 953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lunch was delicious,thank you,"['lunch', 'wa', 'delicious']","['thank', 'you']","[616, 95, 1504]","[62, 4]","[616, 95, 1504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
thank you,what kind of soup was that,"['thank', 'you']","['what', 'kind', 'of', 'soup', 'wa', 'that']","[62, 4]","[22, 276, 56, 1511, 95, 58]","[62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 276, 56, 1511, 95, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what kind of soup was that,it was tomato soup,"['what', 'kind', 'of', 'soup', 'wa', 'that']","['it', 'wa', 'tomato', 'soup']","[22, 276, 56, 1511, 95, 58]","[33, 95, 1512, 1511]","[22, 276, 56, 1511, 95, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 95, 1512, 1511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it was tomato soup,that tasted so good,"['it', 'wa', 'tomato', 'soup']","['that', 'tasted', 'so', 'good']","[33, 95, 1512, 1511]","[58, 1513, 18, 12]","[33, 95, 1512, 1511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 1513, 18, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that tasted so good,i put lemon and butter in it,"['that', 'tasted', 'so', 'good']","['i', 'put', 'lemon', 'and', 'butter', 'in', 'it']","[58, 1513, 18, 12]","[6, 734, 1514, 94, 1515, 23, 33]","[58, 1513, 18, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 734, 1514, 94, 1515, 23, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i put lemon and butter in it,the sandwich was good too,"['i', 'put', 'lemon', 'and', 'butter', 'in', 'it']","['the', 'sandwich', 'wa', 'good', 'too']","[6, 734, 1514, 94, 1515, 23, 33]","[78, 869, 95, 12, 101]","[6, 734, 1514, 94, 1515, 23, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[78, 869, 95, 12, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the sandwich was good too,everyone likes bacon and tomato sandwiches,"['the', 'sandwich', 'wa', 'good', 'too']","['everyone', 'like', 'bacon', 'and', 'tomato', 'sandwich']","[78, 869, 95, 12, 101]","[1254, 32, 1516, 94, 1512, 869]","[78, 869, 95, 12, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1254, 32, 1516, 94, 1512, 869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
everyone likes bacon and tomato sandwiches,especially on toast,"['everyone', 'like', 'bacon', 'and', 'tomato', 'sandwich']","['especially', 'on', 'toast']","[1254, 32, 1516, 94, 1512, 869]","[86, 200, 1517]","[1254, 32, 1516, 94, 1512, 869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86, 200, 1517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
especially on toast,and the pickles were great too,"['especially', 'on', 'toast']","['and', 'the', 'pick', '##les', 'were', 'great', 'too']","[86, 200, 1517]","[94, 78, 783, 1518, 228, 21, 101]","[86, 200, 1517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[94, 78, 783, 1518, 228, 21, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
and the pickles were great too,tomorrow we will have rice and fish for lunch,"['and', 'the', 'pick', '##les', 'were', 'great', 'too']","['tomorrow', 'we', 'will', 'have', 'rice', 'and', 'fish', 'for', 'lunch']","[94, 78, 783, 1518, 228, 21, 101]","[233, 190, 158, 19, 1519, 94, 697, 14, 616]","[94, 78, 783, 1518, 228, 21, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[233, 190, 158, 19, 1519, 94, 697, 14, 616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
